PID,dateCaptured,field_change_date,field_contact_info,field_detail_title,field_digital_origin,field_genre,field_identifier,field_language_of_cataloging,field_oclc_symbol,"field_physical_location, field_institution_website",field_record_content_source,field_record_created,field_record_origin,field_rights_information,field_shelf_location,field_subject_topic,milad_field_,milad_field_contactInfo,milad_field_physicalLocation,milad_field_physical_URI,nan
lsu-ag-assct:1000,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:1139,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:114,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:1298,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:1451,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:1601,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:1925,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:201,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:2188,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:2292,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:2531,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:2833,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:3030,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:3254,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:3537,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:3742,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:3852,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:4209,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:433,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:4346,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:4475,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:4786,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:4912,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:5037,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:5226,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:5343,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:5485,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:562,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:5661,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:5797,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:5853,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:6112,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:6232,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:6347,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:6570,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:6952,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:7056,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:7207,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:7434,,,,,,,,,,,,,,,,,,,,,
lsu-ag-assct:802,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:1002,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10040,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10049,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10058,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10067,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10080,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10097,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10114,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10131,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10140,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10149,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10175,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10209,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10222,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10235,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10244,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10253,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10262,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10283,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10300,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10321,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10334,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10351,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:1035,,,,,,,,,,,,,,,,,,,,,
lsu-ag-sugarbulletin:10364,,,,,,,,,,,,,,,,,,,,,
